
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Secure System                  236 Services                   0     41,544 K
Registry                       280 Services                   0     35,452 K
smss.exe                       768 Services                   0        568 K
csrss.exe                     1036 Services                   0      3,296 K
wininit.exe                   1176 Services                   0      3,712 K
services.exe                  1260 Services                   0      7,276 K
LsaIso.exe                    1340 Services                   0      1,768 K
lsass.exe                     1352 Services                   0     22,624 K
svchost.exe                   1488 Services                   0     30,028 K
fontdrvhost.exe               1520 Services                   0        880 K
svchost.exe                   1632 Services                   0     14,968 K
svchost.exe                   1676 Services                   0      6,716 K
svchost.exe                   1784 Services                   0      5,320 K
svchost.exe                   1792 Services                   0      1,472 K
svchost.exe                   1832 Services                   0      5,984 K
svchost.exe                   1920 Services                   0      7,208 K
svchost.exe                   1928 Services                   0      5,568 K
svchost.exe                   1936 Services                   0      6,300 K
svchost.exe                   2020 Services                   0      4,780 K
svchost.exe                   2044 Services                   0      5,556 K
svchost.exe                   1412 Services                   0     15,584 K
svchost.exe                   2124 Services                   0      4,748 K
svchost.exe                   2324 Services                   0      6,700 K
svchost.exe                   2536 Services                   0      5,200 K
svchost.exe                   2636 Services                   0      2,500 K
svchost.exe                   2700 Services                   0      9,984 K
amdfendrsr.exe                2784 Services                   0      2,360 K
atiesrxx.exe                  2792 Services                   0      3,200 K
svchost.exe                   2800 Services                   0     14,232 K
svchost.exe                   2996 Services                   0      7,832 K
svchost.exe                   3064 Services                   0      4,608 K
svchost.exe                   1516 Services                   0     13,384 K
svchost.exe                   2160 Services                   0      1,832 K
svchost.exe                   2208 Services                   0      8,760 K
svchost.exe                   1908 Services                   0      5,376 K
Memory Compression            3184 Services                   0    221,480 K
svchost.exe                   3228 Services                   0      6,240 K
svchost.exe                   3284 Services                   0      4,060 K
svchost.exe                   3292 Services                   0      4,868 K
svchost.exe                   3400 Services                   0     11,580 K
svchost.exe                   3444 Services                   0      3,528 K
svchost.exe                   3544 Services                   0     26,452 K
svchost.exe                   3564 Services                   0      7,160 K
svchost.exe                   3652 Services                   0     16,268 K
svchost.exe                   3680 Services                   0      9,288 K
spoolsv.exe                   3784 Services                   0      7,228 K
svchost.exe                   3848 Services                   0     18,052 K
svchost.exe                   3900 Services                   0     17,124 K
svchost.exe                   4080 Services                   0      3,136 K
ARTAimmxService.exe           4076 Services                   0      2,396 K
ADESv2Svc.exe                 4100 Services                   0      2,760 K
AAADSvc.exe                   4108 Services                   0      1,780 K
AcerDIAgent.exe               4116 Services                   0      5,572 K
AcerPixyService.exe           4124 Services                   0      3,160 K
svchost.exe                   4176 Services                   0     47,176 K
svchost.exe                   4184 Services                   0     13,368 K
AcerSystemCentralService.     4192 Services                   0      3,752 K
svchost.exe                   4204 Services                   0     35,820 K
AcerServiceWrapper.exe        4220 Services                   0      3,148 K
svchost.exe                   4232 Services                   0      6,792 K
svchost.exe                   4240 Services                   0     15,400 K
svchost.exe                   4280 Services                   0     14,280 K
svchost.exe                   4292 Services                   0      1,992 K
MsMpEng.exe                   4300 Services                   0    211,952 K
MpDefenderCoreService.exe     4308 Services                   0     12,928 K
RtkAudUService64.exe          4316 Services                   0      6,300 K
svchost.exe                   4368 Services                   0     19,880 K
AcerSysMonitorService.exe     4740 Services                   0      2,652 K
svchost.exe                   5160 Services                   0      4,216 K
AcerService.exe               6024 Services                   0      8,096 K
conhost.exe                   6044 Services                   0      1,816 K
AggregatorHost.exe            5552 Services                   0      7,576 K
svchost.exe                   6708 Services                   0      4,728 K
WmiPrvSE.exe                  7148 Services                   0     12,276 K
unsecapp.exe                  6476 Services                   0      3,668 K
svchost.exe                   7036 Services                   0      5,728 K
NgcIso.exe                    5460 Services                   0        652 K
NisSrv.exe                    7044 Services                   0      4,680 K
svchost.exe                   4068 Services                   0      5,468 K
svchost.exe                   2872 Services                   0     21,080 K
svchost.exe                   7804 Services                   0     16,516 K
svchost.exe                   8464 Services                   0      9,680 K
svchost.exe                   8724 Services                   0     20,144 K
SecurityHealthService.exe    10880 Services                   0     14,024 K
